Code Ville 1,Code Pays 1,Ville 1,Code Ville 2,Code Pays 2,Ville 2,Passagers 2000,Distance (km)
PUS,KORR,PUSAN,SEL,KORR,SEOUL **,6039947,337
FLL,UNST,FORT LAUDERDALE,NYC,UNST,NEW YORK **,5523884,1728
HKG,HONG,HONG KONG,TPE,TAIW,TAIPEI,5503393,805
CHI,UNST,CHICAGO **,NYC,UNST,NEW YORK **,5261996,1145
NYC,UNST,NEW YORK **,ORL,UNST,ORLANDO,5101102,1514
LAX,UNST,LOS ANGELES **,NYC,UNST,NEW YORK **,5064576,3953
BOS,UNST,BOSTON,NYC,UNST,NEW YORK **,5009576,306
CJU,KORR,CHEJU,SEL,KORR,SEOUL **,4878284,451
ATL,UNST,ATLANTA,NYC,UNST,NEW YORK **,4875728,1214
NYC,UNST,NEW YORK **,WAS,UNST,WASHINGTON **,4416318,346
LON,UNKG,LONDON **,NYC,UNST,NEW YORK **,4224695,5524
DUB,IRLD,DUBLIN,LON,UNKG,LONDON **,4086874,438
NYC,UNST,NEW YORK **,SFO,UNST,SAN FRANCISCO,3947664,4130
BCN,SPAN,BARCELONA,MAD,SPAN,MADRID **,3895029,484
LAS,UNST,LAS VEGAS,LAX,UNST,LOS ANGELES **,3692288,379
NCE,FRAN,NICE,PAR,FRAN,PARIS **,3396575,674
AMS,NETH,AMSTERDAM,LON,UNKG,LONDON **,3211514,401
LAX,UNST,LOS ANGELES **,OAK,UNST,OAKLAND,3132878,543
MRS,FRAN,MARSEILLE,PAR,FRAN,PARIS **,2989006,628
PAR,FRAN,PARIS **,TLS,FRAN,TOULOUSE,2982057,574
NYC,UNST,NEW YORK **,PBI,UNST,PALM BEACH,2935854,1661
LON,UNKG,LONDON **,PAR,FRAN,PARIS **,2923631,365
MIA,UNST,MIAMI **,NYC,UNST,NEW YORK **,2879834,1760
LAS,UNST,LAS VEGAS,NYC,UNST,NEW YORK **,2877710,3590
LAX,UNST,LOS ANGELES **,SFO,UNST,SAN FRANCISCO,2788222,544
CHI,UNST,CHICAGO **,LAX,UNST,LOS ANGELES **,2715870,2820
BKK,THAI,BANGKOK,HKG,HONG,HONG KONG,2664922,1712
ATL,UNST,ATLANTA,CHI,UNST,CHICAGO **,2622032,955
BOS,UNST,BOSTON,WAS,UNST,WASHINGTON **,2609158,653
CHI,UNST,CHICAGO **,DET,UNST,DETROIT **,2608366,356
NYC,UNST,NEW YORK **,TPA,UNST,"TAMPA, FL **",2579310,1621
CHI,UNST,CHICAGO **,MSP,UNST,MINNEAPOLIS,2521894,563
EDI,UNKG,EDINBURGH,LON,UNKG,LONDON **,2514905,543
LAX,UNST,LOS ANGELES **,PHX,UNST,PHOENIX,2460392,591
ATL,UNST,ATLANTA,WAS,UNST,WASHINGTON **,2458416,868
CHI,UNST,CHICAGO **,LAS,UNST,LAS VEGAS,2370694,2452
